Domain,Topic,Skill,Sub-skill
Numbers,Concepts in whole numbers,Comparing whole numbers,Comparing the value of two identical digits in a whole number above 1000
Numbers,Concepts in whole numbers,Rounding whole numbers,Rounding whole numbers to the nearest 10 or 100
Numbers,Concepts in whole numbers,Rounding whole numbers,Rounding whole numbers above 1000 to any place
Numbers,Concepts in whole numbers,Applying place value understanding (general),recognizing that a digit represents ten times what it represents in the place to its right
Numbers,Concepts in whole numbers,Applying place value understanding (general),recognizing that a digit represents 1/10 of what it represents in the place to its left
Numbers,Concepts in whole numbers,Applying place value understanding (general),Using whole number exponents to denote powers of 10
Numbers,Concepts in whole numbers,Applying place value understanding (general),Explaining patterns in the number of zeros of the product when multiplying by powers of 10
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Using objects/drawings to add and subtract within 20 involving 'adding to' or 'putting together'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Using symbols to add and subtract within 20 involving 'adding to' or 'putting together'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Using objects/drawings to add and subtract within 20 involving 'taking from' or 'taking apart'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Using symbols to add and subtract within 20 involving 'taking from' or 'taking apart'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Adding and subtracting within 20 involving 'comparing' (how many more or fewer)
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Solving word problems involving addition of three numbers whose sum is less than or equal to 20
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Understanding and using subtraction as an unknown-addend problem
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Understanding the meaning of the equal sign
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Determining if equations involving addition and subtraction are true or false
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction within 20,Determining an unknown whole number in an addition or subtraction equation relating three whole numbers
Numbers,Operations on whole numbers,Applying properties of operations to numbers within 20,Applying the associative property of addition
Numbers,Operations on whole numbers,Applying properties of operations to numbers within 20,Applying the commutative property of addition
Numbers,Operations on whole numbers,Applying properties of operations to numbers within 20,Applying the properties of adding zero or subtracting zero/all
Numbers,Operations on whole numbers,Fluently adding and subtracting within 20,Relating counting to addition and subtraction
Numbers,Operations on whole numbers,Fluently adding and subtracting within 20,Using the 'counting on' strategy to fluently add
Numbers,Operations on whole numbers,Fluently adding and subtracting within 20,Using the 'counting back' strategy to fluently subtract
Numbers,Operations on whole numbers,Fluently adding and subtracting within 20,Using strategies that 'make 10' to add and subtract
Numbers,Operations on whole numbers,Fluently adding and subtracting within 20,"Recalling, from memory, all sums of two one-digit numbers"
Numbers,Operations on whole numbers,Fluently adding and subtracting within 20,Fluently adding and subtracting within 20 using mental strategies
Numbers,Operations on whole numbers,Adding and subtracting whole numbers numbers between 20 and 100,Adding or subtracting two numbers using a number line
Numbers,Operations on whole numbers,Adding and subtracting whole numbers numbers between 20 and 100,Adding two numbers using vertical addition (without grouping)
Numbers,Operations on whole numbers,Adding and subtracting whole numbers numbers between 20 and 100,Adding two numbers using vertical addition (with grouping)
Numbers,Operations on whole numbers,Adding and subtracting whole numbers numbers between 20 and 100,Subtracting multiples of 10 (10-90 range) from multiples of 10 (10-90 range) with a positive or zero difference
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction of numbers between 20 and 100,Using objects/drawings to add and subtract numbers between 20 and 100 involving 'adding to' or 'putting together'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction of numbers between 20 and 100,Using symbols to add and subtract numbers between 20 and 100 involving 'adding to' or 'putting together'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction of numbers between 20 and 100,Using objects/drawings to add and subtract numbers between 20 and 100 involving 'taking from' or 'taking apart'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction of numbers between 20 and 100,Using symbols to add and subtract numbers between 20 and 100 involving 'taking from' or 'taking apart'
Numbers,Operations on whole numbers,Representing and solving problems involving addition and subtraction of numbers between 20 and 100,Adding and subtracting numbers between 20 and 100 involving 'comparing' (how many more or fewer)
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers between 20 and 100,Mentally finding 10 more or 10 less than a two-digit number
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers between 20 and 100,Fluently adding and subtracting using properties of operations
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers between 20 and 100,Fluently adding and subtracting using the relationship between addition and subtraction
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers between 20 and 100,Adding up to four two-digit numbers using different strategies
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Adding using concrete models or drawings
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Subtracting using concrete models or drawings
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Adding using place value strategies
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Subtracting using place value strategies
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Adding using properties of operations
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Subtracting using properties of operations
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Adding and/or subtracting using the relationship between addition and subtraction
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Understanding the need to make groups of 10 or 100 during addition
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Understanding the need to make groups of 10 or 100 during subtraction
Numbers,Operations on whole numbers,Adding and subtracting three-digit whole numbers,Explaining why addition and subtraction strategies work
Numbers,Operations on whole numbers,Fluently adding and subtracting three-digit whole numbers,Mentally finding 10 more or 10 less (or 100 more or 100 less) than a three-digit number
Numbers,Operations on whole numbers,Fluently adding and subtracting three-digit whole numbers,Estimating sums and differences using rounding
Numbers,Operations on whole numbers,Working with equal groups of objects to understand multiplication,Determining the number of objects in equal groups
Numbers,Operations on whole numbers,Working with equal groups of objects to understand multiplication,Identifying whether a number (up to 20) is even or odd
Numbers,Operations on whole numbers,Working with equal groups of objects to understand multiplication,Writing an equation to express a number (up to 20) as a sum of two addends
Numbers,Operations on whole numbers,Working with equal groups of objects to understand multiplication,Using addition to find the total number of objects (up to 25 objects) arranged in rectangular arrays
Numbers,Operations on whole numbers,Working with equal groups of objects to understand multiplication,Using arrays to solve word problems
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of numbers within 100,Finding products using arrays
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of numbers within 100,Interpreting products of whole numbers as groups
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of numbers within 100,Using multiplication to solve word problems
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of numbers within 100,Determining an unknown number in a multiplication equation relating three whole numbers
Numbers,Operations on whole numbers,Representing and solving problems involving division of numbers within 100,Finding quotients using arrays
Numbers,Operations on whole numbers,Representing and solving problems involving division of numbers within 100,Interpreting whole number quotients of division as equal shares
Numbers,Operations on whole numbers,Representing and solving problems involving division of numbers within 100,Using division to solve word problems
Numbers,Operations on whole numbers,Representing and solving problems involving division of numbers within 100,Determining an unknown number in a division equation relating three whole numbers
Numbers,Operations on whole numbers,Representing and solving problems involving division of numbers within 100,Understanding and using division as an unknown-factor problem
Numbers,Operations on whole numbers,Applying properties of multiplication and division,Applying the associative property of multiplication
Numbers,Operations on whole numbers,Applying properties of multiplication and division,Applying the commutative property of multiplication
Numbers,Operations on whole numbers,Applying properties of multiplication and division,Applying the distributive property of multiplication
Numbers,Operations on whole numbers,Applying properties of multiplication and division,Applying properties of multiplication (multiplying by 0 or 1)
Numbers,Operations on whole numbers,Applying properties of multiplication and division,"Applying properties of division (dividing 0 by any non-zero number, dividing by 1, dividing a number by itself)"
Numbers,Operations on whole numbers,Fluently multiplying and dividing within 100,Multiplying one-digit whole numbers by multiples of 10 in the range 10–90
Numbers,Operations on whole numbers,Fluently multiplying and dividing within 100,Fluently multiplying using a number line
Numbers,Operations on whole numbers,Fluently multiplying and dividing within 100,Fluently multiplying and dividing using properties of operations
Numbers,Operations on whole numbers,Fluently multiplying and dividing within 100,Fluently multiplying and dividing using the relationship between multiplication and division
Numbers,Operations on whole numbers,Fluently multiplying and dividing within 100,"Recalling, from memory, all products of two one-digit numbers"
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers within 1000,Representing problems using equations with a letter for the unknown quantity
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers within 1000,recognizing the operation(s) to be performed when solving word problems
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers within 1000,Solving two-step word problems using the four basic operations
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers within 1000,Evaluating the reasonableness of answers using mental computation and estimation strategies
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers greater than 1000,Fluently adding numbers greater than 1000 using the standard algorithm
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers greater than 1000,Fluently subtracting numbers greater than 1000 using the standard algorithm
Numbers,Operations on whole numbers,Fluently adding and subtracting numbers greater than 1000,Estimating sums and differences using rounding
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,"Explaining multiplication using equations, rectangular arrays and/or area models"
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Multiplying a whole number (up to four digits) by a one-digit whole number
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Multiplying two two-digit whole numbers
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Estimating products using rounding
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Interpreting a multiplication equation as an equivalent comparison
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Representing verbal statements of multiplicative comparisons as equations
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,"Distinguishing multiplicative comparison from additive
comparison"
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Solving word problems involving multiplicative comparison
Numbers,Operations on whole numbers,Representing and solving problems involving multiplication of multi-digit whole numbers,Fluently multiplying multi-digit whole numbers using the standard algorithm
Numbers,Operations on whole numbers,Representing and solving problems involving division of multi-digit whole numbers,"Explaining division using equations, rectangular arrays and/or area models"
Numbers,Operations on whole numbers,Representing and solving problems involving division of multi-digit whole numbers,Finding whole-number quotients and remainders with up to four-digit dividends and one-digit divisors
Numbers,Operations on whole numbers,Representing and solving problems involving division of multi-digit whole numbers,Using division facts and the relationship between multiplication and division to estimate quotients
Numbers,Operations on whole numbers,Representing and solving problems involving division of multi-digit whole numbers,Dividing multi-digit whole numbers with two-digit divisors (including word problems)
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers greater than 1000,Representing problems using equations with a letter for the unknown quantity
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers greater than 1000,Solving multi-step word problems (involving only addition and/or subtraction and/or multiplication)
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers greater than 1000,Solving multi-step word problems where division is involved (no remainders)
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers greater than 1000,Solving multi-step word problems where division is involved (with remainders)
Numbers,Operations on whole numbers,Representing and solving problems involving mixed operations on numbers greater than 1000,Evaluating the reasonableness of answers using mental computation and estimation strategies
Numbers,Concepts in fractions,Developing an understanding of fractions,"Describing shares and wholes using the words 'half', 'halves', 'fourths' and 'quarters'"
Numbers,Concepts in fractions,Developing an understanding of fractions,Describing shares and wholes using the word 'thirds'
Numbers,Concepts in fractions,Developing an understanding of fractions,Identifying shapes that show halves or quarters/fourths
Numbers,Concepts in fractions,Developing an understanding of fractions,Identifying shapes that show thirds
Numbers,Concepts in fractions,Developing an understanding of fractions,Dividing standard shapes into halves or quarters/fourths
Numbers,Concepts in fractions,Developing an understanding of fractions,Dividing standard shapes into thirds
Numbers,Concepts in fractions,Developing an understanding of fractions,Expressing areas of parts of shapes as fractions
Numbers,Concepts in fractions,Developing an understanding of fractions,Understanding a unit fraction as the quantity formed by 1 part when a whole is partitioned into equal parts
Numbers,Concepts in fractions,Developing an understanding of fractions,Understanding a fraction 'a/b' as the quantity formed by 'a' parts of size '1/b'
Numbers,Concepts in fractions,Developing an understanding of fractions,Representing a fraction '1/b' on a number line
Numbers,Concepts in fractions,Developing an understanding of fractions,Representing a fraction 'a/b' on a number line
Numbers,Concepts in fractions,Developing an understanding of fractions,Expressing whole numbers as fractions and vice versa
Numbers,Concepts in fractions,Comparing and ordering fractions,recognizing that comparisons are valid only when referring to the same whole
Numbers,Concepts in fractions,Comparing and ordering fractions,"Comparing two fractions with the same numerator using the symbols >, = and <"
Numbers,Concepts in fractions,Comparing and ordering fractions,"Comparing two fractions with the same denominator using the symbols >, = and <"
Numbers,Concepts in fractions,Comparing and ordering fractions,Ordering three or more fractions with either the same numerator or the same denominator
Numbers,Concepts in fractions,Comparing and ordering fractions,Comparing two fractions with different numerators and denominators using benchmarks
Numbers,Concepts in fractions,Comparing and ordering fractions,Comparing two fractions with different numerators and denominators using equivalent fractions
Numbers,Concepts in fractions,Comparing and ordering fractions,Ordering three or more fractions with different numerators and denominators
Numbers,Concepts in fractions,Understanding equivalence of fractions,Understanding when two fractions are equivalent
Numbers,Concepts in fractions,Understanding equivalence of fractions,recognizing equivalent fractions
Numbers,Concepts in fractions,Understanding equivalence of fractions,Understanding why a fraction 'a/b' is equivalent to a fraction '(n × a)/(n × b)' by using visual models
Numbers,Concepts in fractions,Applying equivalence of fractions,Generating equivalent fractions by multiplication or division
Numbers,Concepts in fractions,Applying equivalence of fractions,Writing fractions in their simplest form
Numbers,Concepts in fractions,Applying equivalence of fractions,Writing two or more fractions using a common denominator
Numbers,Operations on fractions,Building and decomposing fractions,Understanding addition of fractions as joining parts referring to the same whole
Numbers,Operations on fractions,Building and decomposing fractions,Understanding subtraction of fractions as separating parts referring to the same whole
Numbers,Operations on fractions,Building and decomposing fractions,Decomposing a fraction into a sum of fractions with the same denominator
Numbers,Operations on fractions,Building and decomposing fractions,Converting a mixed number to an improper fraction and vice versa
Numbers,Operations on fractions,Adding and subtracting like fractions,Adding and/or subtracting like fractions
Numbers,Operations on fractions,Adding and subtracting like fractions,Adding and/or subtracting mixed numbers with like denominators
Numbers,Operations on fractions,Adding and subtracting like fractions,Solving word problems involving addition and/or subtraction of like fractions referring to the same whole 
Numbers,Operations on fractions,Adding and subtracting unlike fractions,Adding two fractions with respective denominators as 10 and 100
Numbers,Operations on fractions,Adding and subtracting unlike fractions,Solving problems involving addition and/or subtraction of fractions by using information presented in line plots
Numbers,Operations on fractions,Adding and subtracting unlike fractions,Adding and/or subtracting unlike fractions
Numbers,Operations on fractions,Adding and subtracting unlike fractions,Adding and/or subtracting mixed numbers with unlike denominators
Numbers,Operations on fractions,Adding and subtracting unlike fractions,Solving word problems involving addition and/or subtraction of unlike fractions referring to the same whole 
Numbers,Operations on fractions,Adding and subtracting unlike fractions,Evaluating the reasonableness of answers using benchmark fractions and number sense of fractions
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Understanding a fraction 'a/b' as a multiple of '1/b'
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Understanding a multiple of 'a/b' as a multiple of '1/b'
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Multiplying a fraction or mixed number by a whole number
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Solving word problems involving multiplication of a fraction or mixed number by a whole number
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Interpreting the product '(a/b) × q' as 'a' parts of a partition of 'q' into 'b' equal parts (including visual models)
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Finding the area of a rectangle with fractional side lengths by tiling (including recognizing the area formula)
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Comparing the size of a product of fractions to one of the fractions based on their relative sizes without actual multiplication
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Understanding and explaining why multiplying a number by a fraction greater than 1 results in a product greater than the number
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Understanding and explaining why multiplying a number by a fraction lesser than 1 results in a product lesser than the number
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Multiplying two or more fractions or mixed numbers
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Solving real-world problems involving multiplication of fractions and mixed numbers
Numbers,Operations on fractions,Multiplying fractions and/or mixed numbers,Solving problems involving multiplication of fractions by using information presented in line plots
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Interpreting a fraction as division of the numerator by the denominator
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Solving word problems involving division of whole numbers leading to fractional or mixed number answers
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Calculating and interpreting the quotient of the division of a unit fraction by a non-zero whole number
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Calculating and interpreting the quotient of the division of a non-zero whole number by a unit fraction
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Solving real-world problems involving division of unit fractions by whole numbers
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Solving real-world problems involving division of whole numbers by unit fractions
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Solving problems involving division of fractions by using information presented in line plots
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Calculating quotients when non-unit fractions are divided by whole numbers
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Calculating quotients when whole numbers are divided by non-unit fractions
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Calculating quotients when fractions/mixed numbers are divided by other fractions/mixed numbers
Numbers,Operations on fractions,Dividing fractions and/or mixed numbers,Solving real-world problems involving division of fractions/mixed numbers by fractions/mixed numbers
Numbers,Factors and multiples,Understanding factors and multiples,Identifying whether a number (greater than 20) is even or odd
Numbers,Factors and multiples,Understanding factors and multiples,Finding all factor pairs for a one-digit or two-digit number
Numbers,Factors and multiples,Understanding factors and multiples,Determining if a whole number between 1 and 100 is a multiple of a given one-digit number
Numbers,Factors and multiples,Understanding factors and multiples,recognizing that a whole number is a multiple of each of its factors
Numbers,Factors and multiples,Understanding factors and multiples,Finding the first 'n' multiples of a given number
Numbers,Factors and multiples,Understanding factors and multiples,Determining if a whole number between 1 and 100 is a prime or composite number
Numbers,Factors and multiples,Understanding factors and multiples,Finding all factors for numbers greater than 100
Numbers,Factors and multiples,Understanding factors and multiples,Determining if a number greater than 100 is a prime or composite number
Numbers,Factors and multiples,Understanding factors and multiples,Using the distributive property to express a sum of two whole numbers with a common factor as a multiple of a sum of two whole numbers with no common factor
Numbers,Factors and multiples,Calculating the greatest common factor (GCF),Solving mathematical problems on the greatest common factor (GCF or GCD or HCF)
Numbers,Factors and multiples,Calculating the greatest common factor (GCF),Solving real-world problems on the greatest common factor (GCF or GCD or HCF)
Numbers,Factors and multiples,Calculating the least common multiple (LCM),Solving mathematical problems on the least common multiple (LCM)
Numbers,Factors and multiples,Calculating the least common multiple (LCM),Solving real-world problems on the least common multiple (LCM)
Numbers,Patterns,Identifying and explaining patterns in arithmetic,Identifying patterns in the addition and multiplication tables
Numbers,Patterns,Identifying and explaining patterns in arithmetic,Explaining patterns using the properties of operations
Numbers,Patterns,Generating and analysing patterns,Generating a number pattern that follows a given rule
Numbers,Patterns,Generating and analysing patterns,Generating a shape pattern that follows a given rule
Numbers,Patterns,Generating and analysing patterns,Analysing features of a pattern that are not explicit in the rule
Numbers,Patterns,Generating and analysing patterns,Identifying apparent relationships between corresponding terms of two numerical patterns
Numbers,Patterns,Generating and analysing patterns,Forming and graphing ordered pairs of corresponding terms of two numerical patterns
Numbers,Concepts in decimal numbers,Relating decimal numbers and fractions,Expressing fractions (with denominator 10 or 100) as decimal numbers and vice versa
Numbers,Concepts in decimal numbers,Relating decimal numbers and fractions,Expressing fractions (denominators not powers of 10) as decimal numbers and vice versa
Numbers,Concepts in decimal numbers,Comparing decimal numbers,recognizing that comparisons are valid only when referring to the same whole
Numbers,Concepts in decimal numbers,Comparing decimal numbers,"Compare two decimal numbers to tenths or hundredths using the symbols >, = and <"
Numbers,Concepts in decimal numbers,Comparing decimal numbers,"Comparing two decimal numbers to thousandths using the symbols >, = and <"
Numbers,Concepts in decimal numbers,Comparing decimal numbers,Ordering decimal numbers (including real-world contexts)
Numbers,Concepts in decimal numbers,Applying place value understanding (decimal numbers),Explaining patterns in the placement of the decimal point when multiplying or dividing by powers of 10
Numbers,Concepts in decimal numbers,Applying place value understanding (decimal numbers),Reading and writing decimal numbers to thousandths using base-ten numerals
Numbers,Concepts in decimal numbers,Applying place value understanding (decimal numbers),Reading and writing decimal numbers to thousandths using number names
Numbers,Concepts in decimal numbers,Applying place value understanding (decimal numbers),Reading and writing decimal numbers to thousandths using the expanded form
Numbers,Concepts in decimal numbers,Applying place value understanding (decimal numbers),Using place value understanding to round decimal numbers to any place
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Adding decimal numbers using concrete models or drawings
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Subtracting decimal numbers using concrete models or drawings
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Adding decimal numbers using place value strategies
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Subtracting decimal numbers using place value strategies
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Adding decimal numbers using properties of operations
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Subtracting decimal numbers using properties of operations
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Estimating sums and differences using rounding
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Evaluating reasonableness of answers obtained on adding and/or subtracting decimal numbers
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Adding decimal numbers using the standard algorithm
Numbers,Operations on decimal numbers,Adding and subtracting decimal numbers,Subtracting decimal numbers using the standard algorithm
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Multiplying decimal numbers using place value strategies
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Dividing decimal numbers using place value strategies
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Multiplying decimal numbers using properties of operations
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Dividing decimal numbers using properties of operations
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Estimating products and quotients using rounding
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Evaluating reasonableness of answers obtained on multiplying and/or dividing decimal numbers
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Multiplying decimal numbers using the standard algorithm
Numbers,Operations on decimal numbers,Multiplying and dividing decimal numbers,Dividing decimal numbers using the standard algorithm
Numbers,Operations on decimal numbers,Solving problems involving adding and/or subtracting decimal numbers,Solving problems involving adding and/or subtracting multi-digit decimal numbers
Numbers,Operations on decimal numbers,Solving problems involving multiplying and/or dividing decimal numbers,Solving problems involving multiplying and/or dividing multi-digit decimal numbers
Numbers,Operations on decimal numbers,Solving problems involving mixed operations,"Solving problems involving a mix of adding, subtracting, multiplying and dividing multi-digit decimal numbers"
Numbers,Numerical expressions,Writing and evaluating numerical expressions without exponents,"Evaluating numerical expressions with multiple operations (with/without parentheses, brackets or braces)"
Numbers,Numerical expressions,Writing and evaluating numerical expressions without exponents,Writing numerical expressions
Numbers,Numerical expressions,Writing and evaluating numerical expressions without exponents,Interpreting numerical expressions without performing calculations
Numbers,Numerical expressions,Writing and evaluating numerical expressions involving exponents that are whole numbers,Writing numerical expressions involving exponents
Numbers,Numerical expressions,Writing and evaluating numerical expressions involving exponents that are whole numbers,Evaluating numerical expressions involving exponents
Numbers,Numerical expressions,Solving mathematical and real-world problems involving all forms of rational numbers,Solving mathematical problems involving all forms of rational numbers
Numbers,Numerical expressions,Solving mathematical and real-world problems involving all forms of rational numbers,Solving real-world problems involving all forms of rational numbers
Numbers,Numerical expressions,Solving mathematical and real-world problems involving all forms of rational numbers,Evaluating the reasonableness of answers using mental computation and estimation strategies
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (integral exponents),Understanding and using the product law of exponents
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (integral exponents),Understanding and using the quotient law of exponents
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (integral exponents),Understanding and using the power law of exponents
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (integral exponents),Applying the laws of exponents to numerical expressions (only exponents > 0)
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (integral exponents),Understanding and using zero and negative exponents
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (integral exponents),Applying the laws of exponents to numerical expressions (including exponents ≤ 0)
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (rational exponents),Understanding that the definition of rational exponents follows from extending understanding of integer exponents
Numbers,Numerical expressions,Understanding and applying the laws of exponents to numerical expressions (rational exponents),Simplifying expressions involving rational exponents using the laws of exponents
Numbers,Ratio and proportion,"Understanding ratio notation, rate language and unit rates",Expressing ratio relationships between quantities (words or pictures) using ratio language
Numbers,Ratio and proportion,"Understanding ratio notation, rate language and unit rates",Expressing ratio relationships as unit rates using rate language
Numbers,Ratio and proportion,"Understanding ratio notation, rate language and unit rates",Calculating unit rates associated with ratios of fractions
Numbers,Ratio and proportion,Understanding and applying equivalent ratios,Comparing two or more ratios
Numbers,Ratio and proportion,Understanding and applying equivalent ratios,Identifying if two or more ratios are equivalent using tables
Numbers,Ratio and proportion,Understanding and applying equivalent ratios,"Applying the understanding of equivalent ratios to tables, tape diagrams, double number lines and word problems"
Numbers,Ratio and proportion,Applying ratio and rate reasoning to solve mathematical and real-world problems,Applying ratio and rate reasoning to solve problems involving unit rates (including graphing relationships)
Numbers,Ratio and proportion,Applying ratio and rate reasoning to solve mathematical and real-world problems,Applying ratio reasoning to units of measurement (including conversions and manipulations)
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Expressing fractions as percentages and vice versa
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Expressing decimal numbers as percentages and vice versa
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Expressing ratios as percentages and vice versa
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Finding a percentage of a quantity
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Finding what percentage of a quantity is another quantity
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Finding the original quantity if the percentage and the resultant quantity are given
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,Applying the understanding of percentages to solve real-world problems
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,"Comparing and ordering fractions, decimals and percents"
Numbers,Ratio and proportion,Understanding and applying percentages of quantities,"Applying comparison of fractions, decimals and percents to solve problems"
Numbers,Ratio and proportion,recognizing and representing proportional relationships between quantities,Determining whether two quantities or ratios form a proportion
Numbers,Ratio and proportion,recognizing and representing proportional relationships between quantities,Determining the constant of proportionality using tables
Numbers,Ratio and proportion,recognizing and representing proportional relationships between quantities,Determining the constant of proportionality using graphs/diagrams
Numbers,Ratio and proportion,recognizing and representing proportional relationships between quantities,Determining the constant of proportionality using equations
Numbers,Ratio and proportion,recognizing and representing proportional relationships between quantities,Representing proportional relationships using equations (including scaling)
Numbers,Ratio and proportion,recognizing and representing proportional relationships between quantities,Understanding graphical representations of proportional relationships when situated in a context
Numbers,Ratio and proportion,Applying proportional relationships to solve multi-step problems,Applying proportional relationships to solve multi-step problems involving percentages and/or ratios
Numbers,Concepts in integers,Understanding integers,Developing an intuitive understanding of positive and negative numbers to describe quantities having opposite directions using real-world examples
